Q,cumulative_landfalling_area,max_south_extent
0.8948829758885797,1197878.7142857143,-81.48979591836735
0.8948829758885797,1347591.4285714286,-81.48979591836735
0.8948829758885797,1497304.142857143,-81.48979591836735
0.8948829758885797,1647016.8571428573,-81.48979591836735
1.151733844810277,1796729.5714285714,-81.48979591836735
1.151733844810277,1946442.2857142857,-81.48979591836735
1.151733844810277,2096155,-81.48979591836735
1.151733844810277,2245867.7142857146,-81.48979591836735
1.151733844810277,2395580.4285714286,-81.48979591836735
1.249500214123509,2545293.1428571427,-81.48979591836735
2.21270314566539,2695005.8571428573,-81.48979591836735
2.21270314566539,2844718.5714285714,-81.48979591836735
2.21270314566539,2994431.285714286,-81.48979591836735
2.21270314566539,3144144,-81.48979591836735
2.21270314566539,3293856.7142857146,-81.48979591836735
2.21270314566539,3443569.4285714286,-81.48979591836735
2.21270314566539,3593282.1428571427,-81.48979591836735
2.21270314566539,3742994.8571428573,-81.48979591836735
2.21270314566539,3892707.5714285714,-81.48979591836735
2.21270314566539,4042420.285714286,-81.48979591836735
2.21270314566539,4192133,-81.48979591836735
2.21270314566539,4341845.714285715,-81.48979591836735
2.21270314566539,4491558.428571429,-81.48979591836735
2.21270314566539,4641271.142857143,-81.48979591836735
2.21270314566539,4790983.857142857,-81.48979591836735
2.21270314566539,4940696.571428572,-81.48979591836735
2.21270314566539,5090409.285714285,-81.48979591836735
2.21270314566539,5240122,-81.48979591836735
2.21270314566539,5389834.714285715,-81.48979591836735
2.21270314566539,5539547.428571429,-81.48979591836735
2.21270314566539,5689260.142857143,-81.48979591836735
2.21270314566539,5838972.857142857,-81.48979591836735
2.21270314566539,5988685.571428572,-81.48979591836735
2.21270314566539,6138398.285714285,-81.48979591836735
2.21270314566539,6288111,-81.48979591836735
2.21270314566539,6437823.714285715,-81.48979591836735
2.21270314566539,6587536.428571429,-81.48979591836735
2.21270314566539,6737249.142857143,-81.48979591836735
2.21270314566539,6886961.857142857,-81.48979591836735
2.21270314566539,7036674.571428572,-81.48979591836735
2.21270314566539,7186387.285714285,-81.48979591836735
2.21270314566539,7336100,-81.48979591836735
0.014026515148983922,177,-81.05102040816327
0.3735091282374574,149889.7142857143,-81.05102040816327
0.4972265935216641,299602.4285714286,-81.05102040816327
0.6742511213205741,449315.14285714284,-81.05102040816327
0.6742511213205741,599027.8571428572,-81.05102040816327
0.726235703291866,748740.5714285715,-81.05102040816327
0.726235703291866,898453.2857142857,-81.05102040816327
0.726235703291866,1048166,-81.05102040816327
0.8948829758885797,1197878.7142857143,-81.05102040816327
0.8948829758885797,1347591.4285714286,-81.05102040816327
0.8948829758885797,1497304.142857143,-81.05102040816327
0.8948829758885797,1647016.8571428573,-81.05102040816327
1.151733844810277,1796729.5714285714,-81.05102040816327
1.151733844810277,1946442.2857142857,-81.05102040816327
1.151733844810277,2096155,-81.05102040816327
1.151733844810277,2245867.7142857146,-81.05102040816327
1.151733844810277,2395580.4285714286,-81.05102040816327
1.249500214123509,2545293.1428571427,-81.05102040816327
2.21270314566539,2695005.8571428573,-81.05102040816327
2.21270314566539,2844718.5714285714,-81.05102040816327
2.21270314566539,2994431.285714286,-81.05102040816327
2.21270314566539,3144144,-81.05102040816327
2.21270314566539,3293856.7142857146,-81.05102040816327
2.21270314566539,3443569.4285714286,-81.05102040816327
2.21270314566539,3593282.1428571427,-81.05102040816327
2.21270314566539,3742994.8571428573,-81.05102040816327
2.21270314566539,3892707.5714285714,-81.05102040816327
2.21270314566539,4042420.285714286,-81.05102040816327
2.21270314566539,4192133,-81.05102040816327
2.21270314566539,4341845.714285715,-81.05102040816327
2.21270314566539,4491558.428571429,-81.05102040816327
2.21270314566539,4641271.142857143,-81.05102040816327
2.21270314566539,4790983.857142857,-81.05102040816327
2.21270314566539,4940696.571428572,-81.05102040816327
2.21270314566539,5090409.285714285,-81.05102040816327
2.21270314566539,5240122,-81.05102040816327
2.21270314566539,5389834.714285715,-81.05102040816327
2.21270314566539,5539547.428571429,-81.05102040816327
2.21270314566539,5689260.142857143,-81.05102040816327
2.21270314566539,5838972.857142857,-81.05102040816327
2.21270314566539,5988685.571428572,-81.05102040816327
2.21270314566539,6138398.285714285,-81.05102040816327
2.21270314566539,6288111,-81.05102040816327
2.21270314566539,6437823.714285715,-81.05102040816327
2.21270314566539,6587536.428571429,-81.05102040816327
2.21270314566539,6737249.142857143,-81.05102040816327
2.21270314566539,6886961.857142857,-81.05102040816327
2.21270314566539,7036674.571428572,-81.05102040816327
2.21270314566539,7186387.285714285,-81.05102040816327
2.21270314566539,7336100,-81.05102040816327
0.014026515148983922,177,-80.61224489795919
0.3735091282374574,149889.7142857143,-80.61224489795919
0.4972265935216641,299602.4285714286,-80.61224489795919
0.6742511213205741,449315.14285714284,-80.61224489795919
0.6742511213205741,599027.8571428572,-80.61224489795919
0.726235703291866,748740.5714285715,-80.61224489795919
0.726235703291866,898453.2857142857,-80.61224489795919
0.726235703291866,1048166,-80.61224489795919
0.8948829758885797,1197878.7142857143,-80.61224489795919
0.8948829758885797,1347591.4285714286,-80.61224489795919
0.8948829758885797,1497304.142857143,-80.61224489795919
0.8948829758885797,1647016.8571428573,-80.61224489795919
1.151733844810277,1796729.5714285714,-80.61224489795919
1.151733844810277,1946442.2857142857,-80.61224489795919
1.151733844810277,2096155,-80.61224489795919
1.151733844810277,2245867.7142857146,-80.61224489795919
1.151733844810277,2395580.4285714286,-80.61224489795919
1.249500214123509,2545293.1428571427,-80.61224489795919
2.21270314566539,2695005.8571428573,-80.61224489795919
2.21270314566539,2844718.5714285714,-80.61224489795919
2.21270314566539,2994431.285714286,-80.61224489795919
2.21270314566539,3144144,-80.61224489795919
2.21270314566539,3293856.7142857146,-80.61224489795919
2.21270314566539,3443569.4285714286,-80.61224489795919
2.21270314566539,3593282.1428571427,-80.61224489795919
2.21270314566539,3742994.8571428573,-80.61224489795919
2.21270314566539,3892707.5714285714,-80.61224489795919
2.21270314566539,4042420.285714286,-80.61224489795919
2.21270314566539,4192133,-80.61224489795919
2.21270314566539,4341845.714285715,-80.61224489795919
2.21270314566539,4491558.428571429,-80.61224489795919
2.21270314566539,4641271.142857143,-80.61224489795919
2.21270314566539,4790983.857142857,-80.61224489795919
2.21270314566539,4940696.571428572,-80.61224489795919
2.21270314566539,5090409.285714285,-80.61224489795919
2.21270314566539,5240122,-80.61224489795919
2.21270314566539,5389834.714285715,-80.61224489795919
2.21270314566539,5539547.428571429,-80.61224489795919
2.21270314566539,5689260.142857143,-80.61224489795919
2.21270314566539,5838972.857142857,-80.61224489795919
2.21270314566539,5988685.571428572,-80.61224489795919
2.21270314566539,6138398.285714285,-80.61224489795919
2.21270314566539,6288111,-80.61224489795919
2.21270314566539,6437823.714285715,-80.61224489795919
2.21270314566539,6587536.428571429,-80.61224489795919
2.21270314566539,6737249.142857143,-80.61224489795919
2.21270314566539,6886961.857142857,-80.61224489795919
2.21270314566539,7036674.571428572,-80.61224489795919
2.21270314566539,7186387.285714285,-80.61224489795919
2.21270314566539,7336100,-80.61224489795919
