Label,max_area,mean_landfalling_area,cumulative_landfalling_area,duration,max_south_extent,region,max_T2M_anomaly_ais,max_IWV_ais,max_IWV_anomaly_ais,max_ocean_SLP_gradient,cumulative_rainfall_ais,cumulative_snowfall_ais,avg_landfalling_minomega,max_landfalling_v850hPa,max_vIVT_ais
1980_53,1285960,206924,387983,45,-79.0,West,21.78218078613281,14.630437850952148,10.162792205810549,5.37353928899087,0.00012857680560892404,1.084713208550451,-0.8085834897176482,28.259559631347656,355.6717834472656
1980_54,1925881,48811,85419,42,-71.5,East 1,6.5977630615234375,6.889877796173096,3.657989740371704,8.005252607108439,0.0,0.24160106859996544,-0.404227196169022,27.50856208801269,117.50557708740234
1980_55,1914087,85832,107290,30,-71.5,East 2,8.954818725585938,9.329002380371094,5.852686405181885,5.765153696931306,0.0,0.3153635508359494,-0.7013402130209678,31.238977432250977,161.47198486328125
1980_58,1230019,470116,235058,12,-82.0,West,18.828842163085938,11.869832992553713,7.484774112701416,6.164071207953764,0.002559287953200469,0.6453738611925883,-0.9101570906257074,29.11445426940918,265.6377868652344
1980_59,1544662,772670,193167,6,-76.0,East 2,11.025802612304688,8.897629737854004,5.709362506866455,6.3807922040749885,0.001437430678229114,0.23335037676466294,-0.395871776389823,31.792314529418945,131.5687713623047
1980_60,1368412,3706,3242,21,-67.0,East 2,2.206329345703125,8.463772773742676,4.678107738494873,8.018189211461928,0.0,0.029523033766589067,-0.3491316104733931,28.42810821533203,121.04457092285156
1980_61,1514103,22469,16851,18,-68.5,East 2,10.599212646484377,9.94709014892578,5.270877838134766,6.355461314277902,0.0003689404581426661,0.07711017572808555,-0.3689950691018232,24.53021812438965,121.67137145996094
1980_62,1178220,1444,1444,24,-79.0,East 2,6.6907958984375,7.98937177658081,3.102670192718506,2.753450695207593,0.0,0.0024919769019848275,-0.20491786301136,32.35054397583008,98.51964569091795
1980_63,767896,315035,39379,3,-85.0,West,7.312713623046875,8.559320449829102,4.809929847717285,3.6713071297245023,2.5456418035406958e-05,0.06567097895109654,-0.2529326932180797,20.73924827575684,166.8223114013672
1980_64,1437005,247795,402668,39,-72.5,East 2,5.64447021484375,13.17300033569336,7.664067268371582,5.123885374030165,0.0004988850288928947,0.6447800217607748,-0.1054561932881669,28.71044540405273,256.1809997558594
1980_65,752177,82079,10259,3,-71.0,West,3.268951416015625,11.304253578186035,4.417884826660156,5.087251367327656,0.00122218339735275,0.10998282259389584,-0.535758840610065,23.649797439575195,187.80123901367188
1980_66,707615,175239,21904,3,-79.0,West,5.686981201171875,8.624321937561035,2.761995792388916,4.383676148801312,0.0,0.04596625951464264,-0.2870153801998409,26.631885528564453,105.11857604980467
1980_67,1749946,236166,147604,15,-85.0,West,10.332916259765623,11.34695053100586,6.252547740936279,4.877628048455915,7.874816849609164e-06,0.19696414587286962,-0.1527390238803958,24.34345054626465,216.45849609375
1981_2,2224099,376407,1929089,123,-85.0,East 1,14.598098754882812,18.102975845336918,11.732892990112305,5.461305417273973,0.0096302946892063,1.7578363252162306,-0.5461995322088269,32.85099411010742,277.8792724609375
1981_3,1325745,44171,44171,24,-79.0,West,4.04888916015625,13.080819129943848,6.096182823181152,3.338412031177527,0.0,0.23694230563446367,-0.2035133093595504,22.02094268798828,148.80328369140625
1981_4,1213378,8176,11242,33,-71.5,East 2,4.239898681640625,11.252999305725098,5.5469465255737305,5.8234057083288455,1.7129844765212742e-11,0.07896776414870638,-0.2944094149836827,37.46032333374024,63.83076858520508
1981_5,1429347,48599,24299,12,-68.5,East 2,1.84356689453125,11.412863731384276,4.38573694229126,7.339240311518739,0.0015700133203587145,0.19469780859011948,-0.4337802981496626,30.57525062561035,180.8307037353516
1981_8,1055967,409924,51240,3,-85.0,East 2,15.382369995117188,10.303712844848633,6.435436248779297,4.158414522843684,2.1338209316329177e-05,0.11786005466387797,-0.3277255687534345,22.440114974975582,187.89910888671875
1981_11,464369,15530,1941,3,-66.5,East 1,2.3829345703125,10.985107421875,5.698266506195068,4.882764631111621,4.5541553072681634e-07,0.01697640925196986,-0.5561852836337065,23.72943115234375,124.2362823486328
1981_12,2599546,716447,2507564,84,-85.0,East 1,15.841171264648438,13.89817714691162,8.02159309387207,4.0817052736519095,0.00038708979506531227,1.5389406055830837,-0.4217623472213743,35.97148132324219,275.9308166503906
1981_13,1341617,85786,85786,24,-70.0,East 2,7.4644775390625,11.840897560119627,5.566464424133301,4.141047757992856,0.0,0.13742297401808296,-0.3514244383781071,26.27567672729492,138.58529663085938
1981_14,2797994,666199,1998597,72,-85.0,West,25.52694702148437,17.6312313079834,11.687047958374023,8.091623674592963,4.393021984325178e-05,2.3500326688441024,-0.4777094156075147,27.763484954833984,568.5658569335938
1981_15,1506492,32213,28186,21,-74.5,West,11.096542358398438,17.276124954223633,11.391888618469238,7.165938842509537,7.343869127409025e-09,0.0721251470798836,-0.3961110115051264,38.107608795166016,232.7684326171875
1981_16,1912528,152412,190515,30,-81.0,East 1,23.241180419921875,16.377403259277344,13.001654624938965,4.438060936718711,0.0,1.2777432181915735,-0.7859286495773835,30.419937133789062,249.2426605224609
1981_17,1588251,194606,243258,30,-85.0,West,28.418930053710938,15.283428192138672,10.166279792785645,3.892098938220137,0.006085155271340764,0.7203459619339643,-0.744747088167207,30.30401039123535,336.274169921875
1981_18,1226285,9217,10369,27,-73.0,West,12.5860595703125,11.830455780029297,6.316349029541016,6.20828919822116,2.139005247381201e-05,0.09872334412117238,-0.9193595987398752,34.81706619262695,261.4445495605469
1981_19,110284,9412,1176,3,-77.0,West,5.361236572265625,5.570690631866455,1.7404499053955078,3.5001502869649914,0.0,0.009720386296920618,-1.2258976659784744,31.426443099975582,167.02752685546875
1981_20,2253809,1535905,2111870,33,-85.0,East 2,30.262908935546875,15.320229530334473,11.966171264648438,8.898865142330889,9.144962801754054e-05,2.020234058702203,-0.5479559235662125,30.87188148498535,422.6709289550781
1981_21,1322424,564619,141154,6,-75.0,East 2,15.530471801757812,6.754269123077393,4.203390121459961,10.110620237578637,0.0,0.5311486216816484,-0.4450469387713715,32.80677032470703,155.10342407226562
1981_22,1659164,451053,225526,12,-81.5,West,23.91879272460937,12.328768730163574,7.48746919631958,5.391373012337108,0.004442896533580859,1.000213821275883,-0.8457918899775303,37.08761215209961,264.63739013671875
1981_23,2666817,821080,1231620,36,-85.0,West,23.592559814453125,15.994206428527832,10.45025634765625,3.342289611443798,0.014230679508461203,1.3981931390984716,-0.4729161452162398,28.391679763793945,393.1591796875
