date	temp2m	ewvf	swvf	latitude	longitude
2000-09-12	-51.92444	-0.09691018	2.468315	-75.0	123.0
2000-09-13	-46.388306	3.20257	5.7464027	-75.0	123.0
2000-09-14	-42.371353	3.0044088	7.4025292	-75.0	123.0
2000-09-15	-39.979996	3.3545578	7.295537	-75.0	123.0
2000-09-16	-41.84619	3.6710384	1.8461435	-75.0	123.0
2000-09-17	-51.13478	1.0862854	-1.469706	-75.0	123.0
2000-09-18	-48.484314	2.2973773	0.555048	-75.0	123.0
2000-09-19	-48.15349	2.6090484	0.9362631	-75.0	123.0
2000-09-20	-51.23503	0.6264743	2.2795057	-75.0	123.0
2000-09-21	-49.351868	0.84772235	1.8128772	-75.0	123.0
2000-09-22	-54.510895	0.5033451	0.8238764	-75.0	123.0
2000-09-23	-58.25177	0.28786886	0.8175826	-75.0	123.0
2000-09-24	-61.08963	0.39656895	-0.3602271	-75.0	123.0
2000-09-25	-51.936783	-1.0588577	1.2896059	-75.0	123.0
2000-09-26	-47.67305	-0.95208156	2.872906	-75.0	123.0
2000-09-27	-48.408737	4.1029525	2.382002	-75.0	123.0
2000-09-28	-43.353043	4.9302273	3.2918828	-75.0	123.0
2000-09-29	-47.807236	2.9765122	2.8414378	-75.0	123.0
2000-09-30	-44.83983	2.87166	2.1392474	-75.0	123.0
2001-04-01	-44.54756	6.4125886	-0.3566308	-75.0	123.0
2001-04-02	-50.863327	5.5554934	-1.7691035	-75.0	123.0
2001-04-03	-51.301346	4.722447	-3.1743836	-75.0	123.0
2001-04-04	-50.573364	0.9593082	-2.01995	-75.0	123.0
2001-04-05	-49.543884	-2.7817056	-1.067812	-75.0	123.0
2001-04-06	-50.683655	-0.7087088	0.09920883	-75.0	123.0
2001-04-07	-56.81279	0.69381064	0.113594055	-75.0	123.0
2001-04-08	-55.968384	2.907252	-0.45553064	-75.0	123.0
2001-04-09	-56.151917	3.992329	-1.9327383	-75.0	123.0
2001-04-10	-57.261612	1.3575547	-2.8390226	-75.0	123.0
2001-04-11	-55.831116	0.49564952	-3.992557	-75.0	123.0
2001-04-12	-48.49356	-0.1575129	-2.1575112	-75.0	123.0
2001-04-13	-45.872406	-5.160602	0.16304398	-75.0	123.0
2001-04-14	-48.03627	-0.9289948	0.8553448	-75.0	123.0
2001-04-15	-54.0374	-0.4249343	1.2095866	-75.0	123.0
2001-04-16	-51.92984	-1.4253597	1.674417	-75.0	123.0
2001-04-17	-54.250244	-0.37972277	2.3541303	-75.0	123.0
2001-04-18	-58.563324	0.78711957	1.0585394	-75.0	123.0
2001-04-19	-58.63118	2.1617427	-1.6953778	-75.0	123.0
2001-04-20	-55.931366	2.007831	-4.647095	-75.0	123.0
2001-04-21	-54.948914	3.8566945	-2.6142497	-75.0	123.0
2001-04-22	-57.959503	3.939422	-0.0662241	-75.0	123.0
2001-04-23	-60.099457	2.7956662	0.04076767	-75.0	123.0
2001-04-24	-53.86235	5.360218	4.074991	-75.0	123.0
2001-04-25	-43.228104	4.978325	8.903112	-75.0	123.0
2001-04-26	-43.572052	4.5589156	5.123332	-75.0	123.0
2001-04-27	-51.8049	3.3959215	-0.48340273	-75.0	123.0
2001-04-28	-50.69136	1.1882517	0.849051	-75.0	123.0
2001-04-29	-56.67476	2.5474837	-0.053637028	-75.0	123.0
2001-04-30	-58.04048	2.045347	-0.0032877922	-75.0	123.0
2001-05-01	-59.36609	2.2358127	-0.8709111	-75.0	123.0
2001-05-02	-58.871017	-1.3070402	-0.53285265	-75.0	123.0
2001-05-03	-55.24272	1.1420782	0.8418584	-75.0	123.0
2001-05-04	-54.12146	1.4883795	1.1313658	-75.0	123.0
2001-05-05	-62.219376	1.3046474	-0.49059534	-75.0	123.0
2001-05-06	-60.65007	0.022371292	-0.4537325	-75.0	123.0
2001-05-07	-62.011154	-0.13538808	0.4471569	-75.0	123.0
2001-05-08	-60.105637	1.3777554	0.2664399	-75.0	123.0
2001-05-09	-67.445496	1.8202512	0.10640144	-75.0	123.0
2001-05-10	-52.400238	5.2418985	5.045111	-75.0	123.0
2001-05-11	-45.392746	11.454156	8.85636	-75.0	123.0
2001-05-12	-48.00157	9.624532	3.0617154	-75.0	123.0
2001-05-13	-52.78273	0.468715	-1.5668077	-75.0	123.0
2001-05-14	-55.62291	2.3137305	-3.1060529	-75.0	123.0
2001-05-15	-55.413147	6.333709	-3.561892	-75.0	123.0
2001-05-16	-47.80107	6.464534	-1.6486254	-75.0	123.0
2001-05-17	-52.79045	3.1717877	-1.2584195	-75.0	123.0
2001-05-18	-58.214752	1.5162759	-0.51576996	-75.0	123.0
2001-05-19	-59.019073	1.7836974	-0.3494382	-75.0	123.0
2001-05-20	-61.566208	3.3978455	-0.3988881	-75.0	123.0
2001-05-21	-50.86795	11.492634	6.199545	-75.0	123.0
2001-05-22	-43.16101	22.275105	14.005457	-75.0	123.0
2001-05-23	-32.361755	21.98075	23.31645	-75.0	123.0
2001-05-24	-41.280945	8.637574	3.3737001	-75.0	123.0
2001-05-25	-47.146347	6.741575	5.7922564	-75.0	123.0
2001-05-26	-47.37462	4.6618443	1.81018	-75.0	123.0
2001-05-27	-54.45845	2.1780958	-0.6847992	-75.0	123.0
2001-05-28	-58.247147	1.6336336	-0.6704135	-75.0	123.0
2001-05-29	-58.639664	0.14838642	-1.4409351	-75.0	123.0
2001-05-30	-57.889328	-0.9193753	-3.1815763	-75.0	123.0
2001-05-31	-58.901093	1.5307052	-0.77740574	-75.0	123.0
2001-06-01	-60.81201	1.5720689	1.291404	-75.0	123.0
2001-06-02	-51.019867	1.7471433	4.031835	-75.0	123.0
2001-06-03	-56.460373	4.828261	0.047061443	-75.0	123.0
2001-06-04	-56.606125	7.4178243	-2.3957705	-75.0	123.0
2001-06-05	-58.01503	5.890251	-2.6556077	-75.0	123.0
2001-06-06	-61.571594	2.2512038	-1.1595197	-75.0	123.0
2001-06-07	-61.2724	0.7092019	-0.5391464	-75.0	123.0
2001-06-08	-59.882767	0.7111258	0.2727332	-75.0	123.0
2001-06-09	-59.201843	0.02429521	-0.20828056	-75.0	123.0
2001-06-10	-64.20047	1.695198	-0.68569803	-75.0	123.0
2001-06-11	-65.59703	1.4835696	0.7258754	-75.0	123.0
2001-06-12	-61.143616	0.82174975	0.96952915	-75.0	123.0
2001-06-13	-62.58644	1.3056095	0.24036598	-75.0	123.0
2001-06-14	-64.92844	0.5322035	0.06774044	-75.0	123.0
2001-06-15	-64.49274	0.5937682	0.23317337	-75.0	123.0
2001-06-16	-62.12915	0.725555	-0.30987787	-75.0	123.0
2001-06-17	-61.654892	-0.19791466	-1.4616141	-75.0	123.0
2001-06-18	-59.922104	2.9005184	-1.1055741	-75.0	123.0
2001-06-19	-56.7218	10.221902	-5.9121175	-75.0	123.0
2001-06-20	-58.05745	8.737617	-1.5434318	-75.0	123.0
2001-06-21	-58.736053	0.91409665	-1.0039768	-75.0	123.0
