cluster,is_landfalling,max_area,mean_area,mean_landfalling_area,cumulative_landfalling_area,duration,start_date,end_date,max_south_extent,max_T2m_ais,avg_V10m_ais,max_V10m_ais,avg_V10m,max_V10m,avg_IWV_ais,max_IWV_ais,avg_IWV,max_IWV,landfalling_SLP,max_T2M_anomaly_ais,avg_vIVT_ais,max_vIVT_ais,avg_vIVT,max_vIVT,cumulative_rainfall_ais,cumulative_snowfall_ais
2833.0,True,1081450.0271626597,959698.754745954,17350.37054222058,6506.3889533327165,9.0,1995-07-04 18:00:00,1995-07-05 00:00:00,-76.5,257.3299865722656,-1.1704629728175355,3.518244743347168,9.217843044809037,19.12491226196289,2.881162516039423,4.99791955947876,10.374256907619108,16.8397159576416,97267.75,13.216384887695312,32.14469898843422,46.230079650878906,221.77166258481807,416.9847717285156,0.0,196448972090.39136
2834.0,True,2992614.244500871,2036450.1233294862,963430.9161253512,2890292.7483760538,72.0,1995-07-06 18:00:00,1995-07-09 15:00:00,-85.0,270.1220703125,4.638437472581056,18.305217742919922,9.996888643550859,25.58958625793457,2.2409525173742963,10.049030303955078,11.026849573732546,31.981462478637695,95364.71875,29.4063720703125,43.68275188491323,265.4567565917969,275.9289504844366,1136.2724609375,0.0,14461434210773.77
2837.0,True,940384.770452887,790626.1156440364,4041.0171422219273,3535.889999444186,21.0,1995-07-16 06:00:00,1995-07-17 00:00:00,-66.5,263.59527587890625,-2.8705928554665756,1.3173675537109375,12.836139669017133,19.60368537902832,6.2286487339525785,7.051609992980957,15.446684875092112,24.37270736694336,95967.5859375,8.8179931640625,111.89017991552579,125.46109008789062,387.4969794570855,638.7825927734375,0.0,161522385035.29895
2840.0,True,1368672.8668432334,1108869.2225043878,870377.7342440385,652783.3006830289,36.0,1995-07-21 00:00:00,1995-07-22 09:00:00,-85.0,266.6625671386719,1.7939504437149816,10.569846153259277,3.744682977251952,14.854866981506348,1.362538924585177,8.108871459960938,4.118872929206055,16.872800827026367,98639.59375,33.22998046875,23.866867199131935,157.3478546142578,92.21866293056506,496.6382751464844,0.0,6170318319634.918
2842.0,True,1414682.981732995,1185184.6285348781,87130.94663122766,87130.94663122768,24.0,1995-07-26 21:00:00,1995-07-27 18:00:00,-78.5,266.24530029296875,4.519618070036781,17.404321670532227,8.67633683647578,17.404321670532227,5.520689772871536,9.919333457946777,15.785680068676808,24.73582649230957,97880.8828125,16.404556274414062,99.53066462751778,162.0098876953125,283.36767759139514,588.7955932617188,0.0,3087721818239.439
2843.0,True,1844341.3700517272,1621927.116945794,1289552.5608834682,483582.2103313006,9.0,1995-07-27 18:00:00,1995-07-28 00:00:00,-84.0,271.271728515625,2.738503607762697,11.892603874206543,3.5741772550789506,19.29538917541504,1.3685610512336563,7.366082191467285,2.6088618282097475,13.503972053527832,95333.484375,26.378936767578125,17.57476398637807,113.90913391113281,41.543855581493,264.53240966796875,0.0,5022717847425.551
2846.0,True,1425643.7448718422,1215198.330482487,603247.9900198722,527841.9912673881,21.0,1995-07-31 06:00:00,1995-08-01 00:00:00,-79.0,271.53900146484375,-1.762212754881672,5.6397905349731445,4.957683918794009,18.03041648864746,1.8986998393704455,11.837747573852539,7.702587527710028,18.558502197265625,98268.90625,25.06695556640625,29.97424443990564,207.3426055908203,175.5494378759512,515.9658813476562,3276285140.547992,4770930039023.092
2849.0,True,1457393.9807980708,1193613.2081240225,190377.97180712843,261769.71123480157,33.0,1995-08-04 09:00:00,1995-08-05 15:00:00,-80.0,269.3087158203125,1.4687097620361584,8.688308715820312,11.026525168527595,25.799049377441406,2.808252248035826,7.642411708831787,13.213559196005134,24.34929084777832,96092.40625,29.930130004882812,43.58226341029431,145.82037353515625,319.72159889825457,698.0751342773438,0.0,4719984624491.557
2850.0,True,1252725.9265461934,1128791.3974107623,2799.2491326928034,2449.342991106203,24.0,1995-08-09 03:00:00,1995-08-10 00:00:00,-67.5,262.5719909667969,-6.777128630693249,0.0,12.308709303244322,17.240192413330078,6.727855257445329,8.059782028198242,17.550048775534957,23.579313278198242,96528.640625,8.016799926757812,93.52187234498614,112.83739471435547,394.06877181264207,572.6106567382812,0.0,244225075206.29468
2856.0,True,1682779.1662886948,1474297.077160715,262158.36385361286,557086.5231889272,51.0,1995-08-13 09:00:00,1995-08-15 09:00:00,-82.0,273.90185546875,5.259936250340351,25.273561477661133,13.121178164527281,25.273561477661133,6.405218033705884,11.900847434997559,14.646951242179282,32.746795654296875,95590.1875,30.597488403320312,128.20198991600458,354.5897521972656,321.22445123328737,784.9776000976562,13524947695.150185,12668236409687.068
2858.0,True,1879710.4847426333,1685403.7165116621,22060.74907906533,38606.31088836432,42.0,1995-08-24 09:00:00,1995-08-26 00:00:00,-74.0,253.32049560546875,-5.800249567175827,2.547884464263916,14.42723017620261,26.582521438598633,2.950594417446891,4.8818678855896,19.66820251916324,34.43539047241211,95678.078125,7.4344940185546875,46.445382038551045,86.66584777832031,515.2710779352929,1005.6392822265625,0.0,681064184828.5762
